"","score","text"
"Reviews1",2,"Should try shawarma either veg or non veg, both are really good, also has a range of variety of pizza's, biryaani, pakoda's and many other things to eat"
"Reviews2",0,"You will have unique Biriyani of ""India"" in this small jhups. They prepare Biriyani in Hyderabadi style which is not common here in Bengal. I used to visit this place only for Biriyani. I have tried other items such as …MoreYou will have unique Biriyani of ""India"" in this small jhups. They prepare Biriyani in Hyderabadi style which is not common here in Bengal. I used to visit this place only for Biriyani. I have tried other items such as Sawarma, Chicken Drumstick, Pizza but those are of average quality.The restaurant is located very close to drain and dustbin which make the environment unhygienic."
"Reviews3",1,"They serve superawesome biryani. Their biryani with mayo is just so tasty. I'd never thought Biryani with mayo would taste great."
"Reviews4",1,"Food is good and cheap. Specially chicken swarma is very good and tasty."
"Reviews5",3,"Arguably the best Pizzas, shawarmas, mayonnaise available in kgp. Decent price ranges. Delivery within 30 minutes."
"Reviews6",0,"Definitely the only outlet which serves Arabian dishes. Tasty shawarma and quick delivery."
"Reviews7",1,"It's a small shop but serves good quality food. For only 60 rupees, you can have Shawarma Roll and it is yummy, most importantly. Biryani is also tasty."
"Reviews8",0,"Fast biriyani, cheap and tasty."
"Reviews9",1,"Biryani , pizza and shawarma are the best"
"Reviews10",1,"The first restaurant to start Pizza and Garlic Bread and the only restaurant to serve Shawarma. The first to deliver food in the IIT Kharagpur campus. Popular among the students. Operating since 2010."
"Reviews11",0,"Biryani lebnis shawrma italian pizza cheken lolipop drum stks pakoda"
"Reviews12",1,"Not good"
"Reviews13",1,"Not good for veg"
"Reviews14",1,"Best food restaurant"
"Reviews15",1,"Nice restaurant"
"Reviews16",0,"Chicken shwarma is a must try"
"Reviews17",1,"Shawarmas are worth trying"
"1",15,"TOTAL"
