"","score","text"
"Reviews1",0,"Definitely one of the worst hotels I've stayed at. The whole place is just plain filthy. It's nothing more than a lovenest for IITians living there. …MoreDefinitely one of the worst hotels I've stayed at. The whole place is just plain filthy. It's nothing more than a lovenest for IITians living there. The rooms are smelly, there are spider webs everywhere, the bedsheets are torn, the pillows are filthy, there is no geyser in the room and the whole place is full of mosquitoes.Oh! And the waiter literally took out a cockroach fromhe plate in front of me and gave the same plate back again!Just so disgusting!"
"Reviews2",-5,"Worst hotel I've ever been to. I suggest to every guest who are looking for a hotel in kharagpur, never to go to hotel park. The bed sheets are dirty, rooms are filthy and the worst of all is the smell in the room..."
"Reviews3",0,"Everything is excellent here...Staff treat is quite well.Something like this fits accurate in the price offered. …MoreEverything is excellent here...Staff treat is quite well.Something like this fits accurate in the price offered.I recommend people visiting Kharagpur to stay here rather going to the nearby hotels."
"Reviews4",0,"Food and bar are okay. Could be preferred for overnight stay. Its very close to the IIT Kharagpur campus."
"Reviews5",3,"Affordable. Cheap. Rooms are a bit battered but still good for the price you pay. Food quality is decent. Surrounding is clean and greeny. Authorities are flexible."
"Reviews6",0,"It is a sober hotel near subdivisional hospital beside the flyover going towards iit khargpur. I have gone there once and have personal experience. Entrance is so spacious that car can go through the parking of the hotel. But the rooms of …MoreIt is a sober hotel near subdivisional hospital beside the flyover going towards iit khargpur. I have gone there once and have personal experience. Entrance is so spacious that car can go through the parking of the hotel. But the rooms of this hotel not very spacious and conjested in some extent. The passage is thin and  all the rooms are in serial way. Though the rooms are tidy enough to rest for some time. In overall perspective the hotel is somewhat presentable."
"Reviews7",-3,"May be it is good. But our experience was extremely poor with the services provided by the hotel men. No ac in ac room, simply took the money for two days instead of one day. Poor interaction with the guest her. Arrogant receptionist and even the stupid owners."
"Reviews8",0,"Nice management and food but service is somewhat delayed"
"Reviews9",0,"Very close to IIT kharagpur,bar is in groundfloor"
"Reviews10",2,"Nice small joint. Punjabi dishes are quite good. The place is close to IIT. The bar section should have been separated from the the family section. The outdoor service can be revamped. The owner is active in google. Active action against the criticism is more welcome."
"Reviews11",2,"It is a very decent place to stay in. The room service could be better."
"Reviews12",0,"Decent food. Bad service."
"Reviews13",1,"Rooms were good for their price."
"Reviews14",2,"Great service at family Resturant as well as at Bar."
"Reviews15",0,"You get more variety of drinks here than any other bar in KGP, poor services."
"Reviews16",4,"Good Punjabi food available and also a very nice hookha point available adjoined it."
"Reviews17",0,"It's not really a decent place, more of a cheap bar. The bar section is the smokers zone. You only get to the family section if you have a female with you"
"Reviews18",3,"Rooms are good room service good bar available"
"Reviews19",2,"Good place for eating, have a beer and more. Food quality is good !"
"Reviews20",1,"It serves evrythng, food,  alchohol n d best thing it also has a hookah bar downstairs.. Plus it also offers rooms .."
"Reviews21",0,"Nice hotel but bad politics of staffs to extract money"
"Reviews22",0,"IIT kharagpure"
"Reviews23",1,"Wonderful Ambience and services"
"Reviews24",1,"Dingy passage way to reach the rooms but food was good."
"Reviews25",4,"Great experience and friendly as well as helpful staff."
"Reviews26",1,"Nice food but the cost of drinks is too much"
