"","score","text"
"Reviews1",1,"Awesome food taste at relatively less price than big restaurants"
"Reviews2",2,"Food quality is good but serving dishes are very bad. They don't clean that properly."
"Reviews3",-1,"Food Average, but seating is very poor & fully polluted area."
"Reviews4",1,"Awesome food taste at relatively less price than big restaurants"
"Reviews5",2,"Food quality is good but serving dishes are very bad. They don't clean that properly."
"Reviews6",-1,"Food Average, but seating is very poor & fully polluted area."
"Reviews7",1,"Tastiest food available hereDo tryPrice is above averageTry naan and chicken items"
"Reviews8",0,"Delicious food 🍲 served round the year"
"Reviews9",2,"Awesome food. Nice quality."
"Reviews10",1,"Very good restaurant in kharagpur or i can say near the iit kharagpur , or kharagpur railway station."
"Reviews11",2,"Good for non veg items ,prefer take away items are more oily."
"Reviews12",1,"huge quantities with good taste"
"Reviews13",3,"It serves delicious Punjabi food. Really a place worth visit for anyone looking for authentic Punjabi food in this part of the country."
"Reviews14",1,"Very delicious food"
"Reviews15",1,"Good food"
"Reviews16",1,"Lovely food specially non veg"
"Reviews17",-1,"Testy food.."
"Reviews18",2,"Both quality and quantity ; service and time management ; rate and cleanliness I think appropriate . what  u think. ?"
"Reviews19",1,"Great food"
"Reviews20",2,"Very Delicious food with fast service"
"Reviews21",1,"Nice cooking"
"Reviews22",0,"Aswm food taste of food aswm..........!"
"Reviews23",1,"Authentic Punjabi food station at Kharagpur."
"Reviews24",0,"Just luv the food"
"Reviews25",1,"lovely food and very tasty too..."
"Reviews26",0,"Tasty food"
"Reviews27",1,"Good"
"Reviews28",0,"I still not visited"
"Reviews29",1,"Love the food here"
"Reviews30",0,"Average food"
"Reviews31",1,"Good"
"Reviews32",1,"Loved it!"
"Reviews33",1,"Awesome food"
"Reviews34",0,"Nice food...chicken is so testy"
"Reviews35",0,"Late service...."
"Reviews36",0,"(Translated by Google) real(Original)Dhaba"
"1",29,"TOTAL"
