"","score","text"
"Reviews1",0,"One of the oldest restaurant of the campus though the owner/contractor has been changed several times. The quality of food is average. In particular, avoid this restaurant for lunch …MoreOne of the oldest restaurant of the campus though the owner/contractor has been changed several times. The quality of food is average. In particular, avoid this restaurant for lunch  as you have chance to eat food from the previous day. This place is good for dinner. Avoid taking thali unless price is an issue. Do not order randomly. Politely ask the waiter for his honest recommendations about the food.  You may have a chance to eat the best food in the campus in lowest price."
"Reviews2",0,"One of the oldest restraunts in campus.. bt still a great one.. its a great restraunt..they give ample quantity fr the price u pay.. staffs r very well behaved.. nd also taste is great..😊"
"Reviews3",0,"Nice food quality and great owner... best place to eat arround... 👍"
"Reviews4",2,"Nice place for food at reasonable price."
"Reviews5",0,"Not that good restaurant..but its one of the few options available in iit kharagpur campus..the service is average ..not at all clean and the dining halls look really dull and boaring..the quality of food is average and strangly when i …MoreNot that good restaurant..but its one of the few options available in iit kharagpur campus..the service is average ..not at all clean and the dining halls look really dull and boaring..the quality of food is average and strangly when i ordered chicken tanduri they actually served fried chicken pieces coaded with tandoor masala..the chicken curry items are hopeless and all dishes taste same..overall its an average restaurant and one should better eat at home than come here"
"Reviews6",2,"Good restaurant for having snacks or main course... Nice environment!!"
"Reviews7",2,"Good restaurant in side IIT campus. Good food quality."
"Reviews8",1,"Good food and fast service unless heavily crowded"
"Reviews9",0,"Average quality. In veg option mushroom and paneer is good. If anyone looking for thali it will be bad idea."
"Reviews10",1,"ok place but need to get better"
"Reviews11",0,"The chilly fish here is worth trying."
"Reviews12",5,"A wonderful experience! Located inside IIT Kharagpur campus, it is a multi cuisine  restaurant. The staff is well behaved. The food is equally good. The prices are more or less reasonable. All in all it was an amazing experience. Looking forward to visiting it again to try out some of the other dishes."
"Reviews13",2,"Good mughlai / Chinese food available."
"Reviews14",0,"Not even worth wasting my time on it."
"Reviews15",3,"Situated at IIT, a decent place to have some foods. Quality of foods are moderately good during lunch time. Not a best place to have dinner."
"Reviews16",1,"Good service...value for money"
"Reviews17",0,"The restaurant is located inside IIT Kharagpur campus. So if you are here in the campus for some work or student you have limited choice for food. Keeping in view that its inside campus and meant to cater to the needs of students. The food …MoreThe restaurant is located inside IIT Kharagpur campus. So if you are here in the campus for some work or student you have limited choice for food. Keeping in view that its inside campus and meant to cater to the needs of students. The food I say is quite average. The taste is just about okay. However the quantity is perhaps on a lesser side keeping in view the cost they charge.Ambience is just okay. They both inside and outside / garden sitting facility. Inside is air-conditioned ( though cooling is questionable).The also got takeaway option. The service is pathetic, you may have to wait for long if you won't order in one go. We have chicken tikka masala and Biryani."
"Reviews18",0,"Very poor state......Served Only Makahan in Dal Makhani... no Dal....White Paneer Butter Masala which is supposed to be Red.Hardly 10% items from the menu available."
"Reviews19",-1,"Poor Quality. Avoid if you can"
"Reviews20",1,"Veg items are not good. Foods are ok."
"Reviews21",1,"Quaint little place."
"Reviews22",1,"nice place to eat non-veg"
"Reviews23",2,"Food isn't that good.Better options are available at KGP at much cheaper expense."
"Reviews24",-2,"The quality and test of the food is very poor. The service also too bad. I want to give (-100) star."
"Reviews25",3,"Good place. Reasonable price. Taste is good. :)"
"Reviews26",1,"Inexpensive quality food."
"Reviews27",0,"Hi everyone. Please avoid eating/ ordering from dreamland restaurant. We had ordered a chicken 65 dish along with 3 tandori rotis for takeaway. At dinner time we realised it was not chicken but small pieces of mushroom that were given. We …MoreHi everyone. Please avoid eating/ ordering from dreamland restaurant. We had ordered a chicken 65 dish along with 3 tandori rotis for takeaway. At dinner time we realised it was not chicken but small pieces of mushroom that were given. We first thought parcels might have been exchanged but after bringing up the issue with the owner ( mr sarkar), we realised mushroom 65 is not even on the menue and since we had eaten chicken 65 previously at the same place,  we knew how it tastes or looked like. But shocking of everything was behaviour of the owner...he was uncouth and arrogant. After speaking for sometime with him it was clear that this was not a mistake but deliberately done, probably to save cost...but it is a strategy used by them. Therefore would request all to check and re check orders , particularly takeaways from dreamland. Thanx."
"Reviews28",1,"Nice place"
