"","score","text"
"Reviews1",0,"The food was really good and different from regular Chinese fare you get at most places. The specials are also good to have. …MoreThe food was really good and different from regular Chinese fare you get at most places. The specials are also good to have.However, there is a lack of drinks on the menu. Better call and reserve tables, as it can get quite busy by 8 in the evening. Recommend sitting in the area upstairs on the 1st floor than the one at the entrance for a better ambiance."
"Reviews2",0,"stayed there for one night. Extremely arrogant behaviour by all staffs. Manager Samir is too much inexperienced to handle a hotel business. Bad behaviour. All staffs need soft skill training. Food not so good. Will never recommend anybody …Morestayed there for one night. Extremely arrogant behaviour by all staffs. Manager Samir is too much inexperienced to handle a hotel business. Bad behaviour. All staffs need soft skill training. Food not so good. Will never recommend anybody to stay in this hotel. Foul smell inside hotel room. Hotel is near main road so you will always get noisy environment.Overall very pathetic experience."
"Reviews3",0,"No geyser in single bed room. In house restaurant have mainly Chinese cuisine. Also have Indian cuisine but limited. Room was clean."
"Reviews4",2,"Food is ok.. could have been a wonderful place to hangout had it been managed well.. Management needs a relook"
"Reviews5",1,"Amazing food, service, rooms."
"Reviews6",0,"What a disappointment. Oily food. Unprofessional staffs and a place that only looks nice from the outside."
"Reviews7",2,"Needs a lot of improvement. Foods are tasty but still does not match the standards of its predecessors. For me ""Far East"" still remains the gold standard of chinese food in Kharagpur though it has been long shut down."
"Reviews8",2,"Fresh and tasty food. They provide lunch also. Don't forget to order Raita. Good service."
"Reviews9",4,"Good food. Variety. Cool ambience. Nice staff. Must visit"
"Reviews10",6,"Love this place.. good food.. good to visit with family and friends as well.. well behaved and friendly staff.. definately visit this place again"
"Reviews11",0,"I have been stay for a week at this hotel. That time it is just started so not much basic facilities are there, although their service staff are good.Hope that will help other to take decision."
"Reviews12",1,"Food was not as delicious as Flavors( If you've been there ) but it was good. A bit crammed and hence noisy."
"Reviews13",2,"Renovation done recently. If you like Chinese food, Waldorf is the best place you can think of."
"Reviews14",1,"Chicken manchow soup and all non-veg starters are awesome"
"Reviews15",2,"Delicious Food. One of the best place in kharagpur especially for vegetarians."
"Reviews16",0,"Good food.... Cheap price"
"Reviews17",2,"Best chinese food option in kgp i believe..the staff is really excellent ..service is fast and d food is too good..only issue is that they dont have a parking lot."
"Reviews18",0,"Dear Debasree Madam, As you said that the misbehaving of restaurant staff I want to tell you that I am sitting over there in a table opposite of you . You are sitting over the …MoreDear Debasree Madam, As you said that the misbehaving of restaurant staff I want to tell you that I am sitting over there in a table opposite of you . You are sitting over the table putting the legs on the chair. It was looking odd so I requested the captain to tell you seat properly. I think he has doing his duty and he do not misbehaving with you intentionally.    The staffs are very polite and well behaved and food quality is awesome. I think the best hotel in kharagpur."
"Reviews19",1,"Food is very good and healthy.  It has only problem of waiting time to get a table."
"Reviews20",5,"Great place to have food with family... Great hospitality.. The food is good and the staff very polite and professional...Overall good for a family outing"
"Reviews21",0,"I have given 2 stars just because their dumplings and soup are good. Our group didn't like their main course. They claim to have Mainland China cooks but I've been to Mainland China a lot of times and it's nowhere near them. Also, they …MoreI have given 2 stars just because their dumplings and soup are good. Our group didn't like their main course. They claim to have Mainland China cooks but I've been to Mainland China a lot of times and it's nowhere near them. Also, they don't pay GST most probably. They've written ""taxes extra"" on their menu but when we asked them why they didn't put taxes, he gave a sly smile and said we have to pay taxes only if we pay by debit card which indicates all other business is not billed. They also don't give electronic bills, so they can totally hide these earnings. I study at IIT Kharagpur so I went to this place as it's near our campus. They treat their customers as if we're inferior to them. We were unnecessarily subject to statements like, ""Aap Kabhi khaye Nahi honge Magnum aur Kabhi khaenge bhi Nahi to abhi kha lijiye"" meaning ""I'm sure you never would have had Magnum ice-cream in your life, and you will never have it again, so you might as well have it now."" This was when I told him that I've had Magnum a lot of times and I'll try another ice-cream this time. Their waiters don't know what's there on their menu so they tell you to try the generic Manchow Soup and Schezwan fried rice. When we said that we've had Manchow soup before and would like to try their Korean fried rice, the waiter again said, ""Aapne Kabhi khaya nahi hoga aapko pata Nahi hai shayad, ye try Kar lijiye"" which means ""You must have never eaten this so you don't know what it is, try the Manchow soup not Korean fried rice."" Ultimately he didn't bring the Korean fried rice and when we asked for it, he said that we never ordered it. They charged us Rs. 40 for an ice-cream of Rs. 15 (267%), Rs. 30 for a cold drink of Rs. 15. We thought it was an honest mistake so we went to clarify after paying the bill. We were extremely polite seeing as they were elder to us. But they started insulting us saying that we'd never been to a restaurant so didn't know what it is like. When I told them (again politely) that you must have made a mistake, restaurants generally charge 5-10 rs extra proportional to the price of the product, he replied ""Aap Gaye hi kitni achchi jagah honge, aap ko pata Nahi hai ki achche restaurant me kaise hota hai, aisa hi hota hai, aapko yaha bithake khilaya na uska paisa hai ye. Pata Nahi kaise log aate hai"" meaning ""You must have never been to a good restaurant in your whole life, it is like this. It's the money we charge for giving you a place to sit. People don't know what it's like to go to a good restaurant and then tell us. Lord knows what kind of people come here!"" I'm from Mumbai and was not going to take any such insults so I told him that I'm from Mumbai and no restaurant even speaks to their customers like this. Their ice-creams were half melted, even the Magnum that we ultimately ordered was half melted and refrozen which made it taste horrible. So ultimately they returned 50 Rs out of the extra Rs. 80 they'd charged just because they realised we're from IIT and they'd be spoiling their market base. But if we'd been localites, I think they would have insulted us for one more hour."
"Reviews22",2,"Delicious food. Nice place."
"Reviews23",2,"Good food ,good service"
"Reviews24",0,"Just checked in. Detailed review after 6 days..."
"Reviews25",2,"Lovely food as well as quality and quantity"
