"","score","text"
"Reviews1",0,"Food is good. Service is very poor. Ordered biryani online and waited for three hours to get delivered inside the IIT Campus. Made numerous phone calls only to listen to their ""10 minutes"" fake excuses. Finally got a return call asking if …MoreFood is good. Service is very poor. Ordered biryani online and waited for three hours to get delivered inside the IIT Campus. Made numerous phone calls only to listen to their ""10 minutes"" fake excuses. Finally got a return call asking if the order should be delivered.Being a regular customer since their inception I can see that there is a definite change in attitude in serving the customers, from when to stared few months back till today. Waiters are roaming here and there but not taking orders, on top of that they are not even listening to the call.WILL NOT GO THERE AGAIN. Same with my friends who missed their dinner tonight."
"Reviews2",3,"Biriyani was yummy... I had mutton biriyani and chicken fry piece biriyani both are really good. It is like an oasis in Kharagpur where it is too hard to get  delicious food."
"Reviews3",0,"The nearest south Indian taste one can get near IIT KGP campus.Nice taste but a bit overly priced for the quantity provided"
"Reviews4",0,"This is a place famous for its Biryani located between the two railway crossings just after the main gate of IIT. …MoreThis is a place famous for its Biryani located between the two railway crossings just after the main gate of IIT.One can enjoy the biryani here or can get it delivered to their respective hall or places.They provide different styles of biryani here. Although their chicken biryani (hyderabadi style) is liked most.It is at a walking distance of at max 5mins from the IIT main Gate.Always call them if they are open or not and ask them about the availability of biryani because sometimes it gets over before you reach there to munch on it... 😂"
"Reviews5",1,"The biryani  and afternoon veg meals are worth to taste"
"Reviews6",2,"Dum biryani is excellent....... Best in Kharagpur."
"Reviews7",3,"It's place where you can rejoice your taste buds with pure South Indian menu and Indian food. DOSAS AND MEALS ARE WHERE IT STARTED AND BIRYANI IS FAMOUS FOR ITS REAL HYDERABADI STYLE"
"Reviews8",0,"Options are very limited. Non veg biriyani is good, Veg biriyani is not."
"Reviews9",-1,"Damn... Should try biryaani over here... It's really tasty man"
"Reviews10",1,"Wonderful eatery place for dosas, south Indian meal and nawab-e-dum-ke-biryani"
"Reviews11",2,"Food is pretty good. Service is not up to the mark."
"Reviews12",0,"Best for Chicken biryani lovers😍"
"Reviews13",1,"Best biryani at kgp"
"Reviews14",1,"Place to hit if you want to eat decent biryani at reasonable rates. Good for once in a while visit. PS - they make you take odd your shoes to get in. Absurd."
"Reviews15",0,"Taste is excellent but poor water facility...."
"Reviews16",0,"Tasty food. Mostly south Indian."
"Reviews17",-1,"I would have rated 5 before. Recent changes have made me averse to the place"
"Reviews18",1,"Perfect chicken biryani...so much overcrowding to taste its biryani!! restaurant needs to grow bigger!!"
"Reviews19",1,"Biryani is very good."
"Reviews20",0,"Dum biryani is a must try!"
"Reviews21",1,"The best biryani in Kharagpur"
"Reviews22",0,"Perfect Telugu biryANI...i lv it😍😍😍😍😍"
"Reviews23",0,"Amazing biryani 😍"
"Reviews24",1,"Best place for Hyderabad biryani"
"Reviews25",0,"Real taste of south Indian Food"
"Reviews26",0,"Gud place to eat"
"Reviews27",-1,"Poor service during rush"
"Reviews28",1,"Good food..!!"
"Reviews29",1,"Good Food."
"Reviews30",1,"Good"
"Reviews31",0,"Original south Indian test"
"Reviews32",0,"Must try........😘😘"
"1",18,"TOTAL"
