,Hotels,Review_score,No_of_reviews,rev_score
1,amigos,36,33,1.090909091
2,arabian,30,18,0
3,askaan,28,14,0
4,dominos,534,323,1.653250774
5,flavours,534,228,2.342105263
6,hbite,34,21,1.619047619
7,heritage,154,92,1.673913043
8,himalayan,16,8,0
9,hpark,108,111,0.972972973
10,punjab_hotel,58,37,1.567567568
11,scrummys,302,123,2.455284553
12,taaz,326,168,1.94047619
13,Capsicum,204,86,2.372093023
14,Dreamland,70,71,0.985915493
15,Foodcity,72,53,1.358490566
16,Havan,92,111,0.828828829
17,Kaushik,76,39,1.948717949
18,LS,58,46,1.260869565
19,Waldrof,162,69,2.347826087
