"","score","text"
"Reviews1",2,"Must try their garlic bread and don't forget to try that heavenly topping !Pizzas are okay from a pre made base pizza base standards. not too great."
"Reviews2",1,"The pizza is good"
"Reviews3",3,"Not a great choice of pizzas available. However, the quality of toppings is good. It's OK for a quick bite."
"Reviews4",0,"tasty and quick bite"
"Reviews5",0,"Pizza , garlic bread"
"Reviews6",2,"Decent but not worth going again"
"Reviews7",1,"Best pizza centre in kharagpur."
"Reviews8",1,"Value for money, excellent topping in such a less amount of money"
"Reviews9",0,"Cheap and also tastes good"
"Reviews10",1,"Good for garlic bread...value for money."
"Reviews11",1,"Nice pizza..."
"Reviews12",0,"Garlic bread <3"
"Reviews13",2,"Superbly amazing..."
"1",14,"TOTAL"
