"","score","text"
"Reviews1",7,"Nice and best hangout place for any pizza lover. You must try domino's pizza if you haven't yet touched soft bread of pizza. They have n no if varient pizzas in menu. And it starts from 50 rupees to 900. Daily offers are best if you are on party. Service is nice and it's classy place where you can take any kinda of buddies"
"Reviews2",5,"Nice place to go out with friends. Its pocket friendly and ambience is nice. The food service is also very good. Staff behaviour is very polite"
"Reviews3",3,"This place is situated near inda petrol pump. Its a decent place and the only one branded pizza shop in kharagpur (Till today). Place is very decent, clean and hygenic. You can take cgood selfie at here. Don't forgot  to carry change while paying in cash."
"Reviews4",0,"The ambience is good,the service is good,waiting time is less..its good to bring kids here coz it has a spacious room..the wash room needs some more care though..usually dirty and the cleaning stuff needs to be more effecient there..the …MoreThe ambience is good,the service is good,waiting time is less..its good to bring kids here coz it has a spacious room..the wash room needs some more care though..usually dirty and the cleaning stuff needs to be more effecient there..the tables too are not that clean ..hope they check this next time..oveall a good experience and loved it coz this is d only good place in kgp to hang out with family and friends"
"Reviews5",2,"This is a good Domino's store and the service here is better than most places and similarly for the quality of ingredients."
"Reviews6",7,"It is good to see big brands like Domino's to come to Kharagpur. The service of this store is good like any other Domino's store. The store is pretty spacious and plays good music."
"Reviews7",2,"Its ok nice place with good service"
"Reviews8",4,"Well what can I say about domino's pizza, great topping and delicious cheese.Only thing to improve is their crust quality."
"Reviews9",2,"Good ambient atmosphere. Service time is good."
"Reviews10",0,"The only pizz shop in Midnapore and kharagpur. The one and only Domino's counter nearby."
"Reviews11",-1,"Good food but sometimes gets crowded and hence poor service."
"Reviews12",1,"Perfect place for hang out with friends and also famous for delicios pizza ."
"Reviews13",1,"Good place to hangout with friends. Fast service. But somethimes some items from the menu is unavailable."
"Reviews14",0,"Its presence is itself an uniqueness cause no other such outlet for youngsters are available..in midnapore locality"
"Reviews15",0,"Regular dominos stuff. Nothing special. But the tables were rocking and washroom was blocked and stinking when I visited. I believe it is the monopoly that puts them on the back foot because people don't have choices here."
"Reviews16",3,"Good crowd. Tasty pizza. Timely delivery. Polite staff"
"Reviews17",0,"Its good. But why two star less is, the day when i ordered and i want to be delivered at my home (barbetia), they told NO, they can't do home delivery. Not only that, they didn't took my order either thru phone or online. I went to the shop …MoreIts good. But why two star less is, the day when i ordered and i want to be delivered at my home (barbetia), they told NO, they can't do home delivery. Not only that, they didn't took my order either thru phone or online. I went to the shop and ordered, which is frustrating again becuase after that i waited 30 mins to get my order. Atleast they could take the order online or by phone, so that by the time i reached there for pickup, my order should be ready. Well As of now in this location i ordered only once. So i dont know what about other days. May be its my bad luck. But they have to think Dominos is a brand (its not like ""kharagpur Local pizza"" shop), and they need to maintain consistency. Other than that tastes are OK."
"Reviews18",3,"Its a good place. Ambience is good. Quality is fine."
"Reviews19",-2,"Good Quality Pizza at here... But poor service... crowded place... all over not bad.."
"Reviews20",2,"Pizzas are good. The place is nice and quite."
"Reviews21",2,"Good dominos. The seating area is actually good as compared to other dominos"
"Reviews22",0,"It's like any other Domino's. Mouthwatering pizzas. Brilliant lighting and wallpapers for pictures and selfies 😉. Space is less here but it's usually not crowded."
"Reviews23",2,"Nice people and serving good quality of Food"
"Reviews24",0,"It is th esame Dominoz. Nice place to hangout. Can watch your favourite Pizza from bun to burn and to being served just in front of you."
"Reviews25",2,"The products,staff & ambience is just awesome. Love to be here with family always. It's my first place to choosing my dinner with my family."
"Reviews26",-1,"Terrible service. Often run out of ingredients."
"Reviews27",2,"Very good food and tasty. Very calming place and lot of people come here."
"Reviews28",-4,"Toilet very dirty. Stingy smell .pizza quality also deteriorating"
"Reviews29",0,"The consistency of Domino's Pizza is never found here. Someday the pizzas taste exceptional and some other day, it's out right bland... The tables are not cleaned and are cleaned only when you ask them. They don't deliver to IIT and the is …MoreThe consistency of Domino's Pizza is never found here. Someday the pizzas taste exceptional and some other day, it's out right bland... The tables are not cleaned and are cleaned only when you ask them. They don't deliver to IIT and the is almost always a long wait here if Domino's is providing some offer. It's usually crowded and kills the mood. Best time to visit would probably be Monday to Thursday, evenings or in the afternoon for brunch/lunch!"
"Reviews30",0,"Not all adiction are harmful..Except PIZZA😂😚😜"
"Reviews31",3,"The famous domino in our kharagpur. As usual delicious and hot chezzy pizza."
"Reviews32",1,"Dominos in Kharagpur. Good restaurants."
"Reviews33",0,"It's in ruins! Not maintained.  Nothing is working. Wonder why they still keep it open??Waste of time and money."
"Reviews34",2,"Loving it. Timely delivery"
"Reviews35",1,"Good quality food"
"Reviews36",2,"Great pizzas. The place is a bit small, but good."
"Reviews37",0,"They even don't have oregano packets.Worst Dominos Outlet"
"Reviews38",1,"Takes time more... But best place to eat pizza.. at least in kgp..."
"Reviews39",2,"Wonderful place on main road to enjoy pizzas"
"Reviews40",2,"Good environment and nice place for outing and having food..but washroom is small."
"Reviews41",0,"The only pizza joint in kharagpur. Even offers extra discount for defence employees."
"Reviews42",3,"Nowadays in Kharagpur City One of the most  Famous & Finest Place for Enjoying with Friends or Family"
"Reviews43",4,"If you like pizza, it is the best option available at Kharagpur. The choices are decent. However, waiting time is quite high."
"Reviews44",1,"Good place to hangout with friends in kgp"
"Reviews45",1,"It is better than other place.."
"Reviews46",0,"Very nice pizza center....Very decent food available here... Beautiful place for friendly party....👌👌👌"
"Reviews47",2,"I loved visiting the place everytime and grab out Delicious Pizzas."
"Reviews48",-1,"No delivery inside IIT campus.. only negative.."
"Reviews49",0,"Nice place with great food. The place is clean. The staffs are helpful....😊👍"
"Reviews50",1,"Ok so this a exceptional case that is i ordered two pizzas and unfortunately the toppings were not fresh they tasted asif it was been kept from the leftover toppings yesterday. Otherwise the service and the hospitality was reaaly appreciatable."
"Reviews51",1,"Ideal place for pizza lovers...they serve really fast...very tasty...yum... cheesy...love it..."
"Reviews52",2,"Its actually the only pizza franchisee here so it lives up to its name as well and have some decent pizzas"
"Reviews53",-3,"Very bad service and rude behaviour towards customers that we had to eat outside dominos with their pizzas just because of cold drinks"
"Reviews54",-1,"Doesn't deliver within time. Poor delivery service."
"Reviews55",-1,"Few month ago I went to Dominas its locate just opposite of Kharagpur College....I ate capcicum Pizza and onion Pizza with cold drinks but I think that was not so tasty..."
"Reviews56",0,"Lovely place to hang out on weekends"
"Reviews57",2,"Nice place. Better to book online in advance"
"Reviews58",2,"Friendly people, good ambience"
"Reviews59",1,"Only pizza centre available in midnapore and kgp"
"Reviews60",1,"SD deliver to all places and not nice food"
"Reviews61",0,"Nice place to hang out. The only recognised pizza outlet in paschim medinipur"
"Reviews62",3,"Good place... service is good.. hospitality is excellent"
"Reviews63",2,"Taste of pizza is good. And customer service is very good"
"Reviews64",1,"Waiting time s quite high and not satisfied with the services.. tables were not cleaned properly Nd disgusting toilet facilities..."
"Reviews65",1,"Our favorite at IIT kharagpur"
"Reviews66",1,"Wounderful service. I like it"
"Reviews67",3,"Nice one, good service as well"
"Reviews68",0,"Who doesn't like cheesy pizza? Domino's has indeed revolutionalised the way we Indians look at these Italian bread preparations. Domino's constantly renovates their pizza menu to suit the ever demanding palate of Indians. …MoreWho doesn't like cheesy pizza? Domino's has indeed revolutionalised the way we Indians look at these Italian bread preparations. Domino's constantly renovates their pizza menu to suit the ever demanding palate of Indians. Chicken dominator pizza I think is one of their best additions in the menu by far. You get sausages, salami, BBQ chicken, whatnots! Spicy, hot, yummy, delicious... Throw in all the adjectives but with cheese burst option, this pizza will surely leave you satisfied!"
"Reviews69",2,"Nice place to have fun with pizza"
"Reviews70",1,"Overall good place to time pass with family."
"Reviews71",-1,"No beverages, very humid environment"
"Reviews72",0,"I think their cooks are not professional, they can't make tasty pizzas."
