"","score","text"
"Reviews1",4,"Good place to have good and quality food at a good price, offer you prior booking for any particular celebration or any gathering.."
"Reviews2",2,"It is a good place to eat when in a group. Food is also good"
"Reviews3",2,"Quality is good. Neatness nice. Price high."
"Reviews4",1,"One of the best restaurant in goregaon mumbai"
"Reviews5",1,"Good quality food, hygiene conditions"
"Reviews6",-2,"Service is ok but food is pathetic. Hygiene is a concern. Prices are ok. I'll go eat there if I have no other option left."
"Reviews7",3,"Food is good. The service is also good. The rates are reasonable. Go for the North Indian dishes."
"Reviews8",1,"Good place to have dinner and lunch  if you visit kgp for the first time"
"Reviews9",1,"One of the most expensive hotels in the campus. But, good food. Worth a try."
"Reviews10",2,"Taste is good,but the price is not justified. You can easily get alternate options in IIT campus which offers better food at affordable rates."
"Reviews11",4,"Good place to have good and quality food at a good price, offer you prior booking for any particular celebration or any gathering.."
"Reviews12",2,"It is a good place to eat when in a group. Food is also good"
"Reviews13",2,"Quality is good. Neatness nice. Price high."
"Reviews14",1,"One of the best restaurant in goregaon mumbai"
"Reviews15",1,"Good quality food, hygiene conditions"
"Reviews16",-2,"Service is ok but food is pathetic. Hygiene is a concern. Prices are ok. I'll go eat there if I have no other option left."
"Reviews17",3,"Food is good. The service is also good. The rates are reasonable. Go for the North Indian dishes."
"Reviews18",1,"Good place to have dinner and lunch  if you visit kgp for the first time"
"Reviews19",1,"One of the most expensive hotels in the campus. But, good food. Worth a try."
"Reviews20",2,"Taste is good,but the price is not justified. You can easily get alternate options in IIT campus which offers better food at affordable rates."
"Reviews21",-1,"Service is slow, food is not tasty."
"Reviews22",-1,"Tasty food, high price and worst customer service particularly in the hall area."
"Reviews23",2,"Decent food. good price."
"Reviews24",1,"Good food, fast service but a little too expensive as compared to other places in campus"
"Reviews25",4,"The ambience is good. Food's quality is good. The taste varies from good to worse. The service is great. Cleanliness and hygiene is its USP"
"Reviews26",0,"Food here is less oily compared to other restaurants around. The flaw with this place is the service which is not good at all."
"Reviews27",4,"Looks like a decent recent restaurant but taste of the food is not that good compared to other restaurants in campus which serve decent food for lower prices than this ."
"Reviews28",1,"Really good service quality"
"Reviews29",1,"So so level of service...Pine Apple raita and manchaow soup are the best items to check out."
