"","score","text"
"Reviews1",0,"Good service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here. …MoreGood service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here.We had spent a great time.. You should try beriany here. Strongly recommended."
"Reviews2",4,"One of the best place to have quality and delicious food.. The new feature of online ordering is amazing.. Try it to appreciate it."
"Reviews3",1,"Nice place.but they served wasted food many times. Little bit spicy.. Pocket friendly."
"Reviews4",0,"Good service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here. …MoreGood service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here.We had spent a great time.. You should try beriany here. Strongly recommended."
"Reviews5",4,"One of the best place to have quality and delicious food.. The new feature of online ordering is amazing.. Try it to appreciate it."
"Reviews6",1,"Nice place.but they served wasted food many times. Little bit spicy.. Pocket friendly."
"Reviews7",0,"Average food quality... But now it is not as much good as it was earlier. But you can visit here for all types of chicken, tandoori etc items... Hope the taste will not disappoint you too much!!"
"Reviews8",2,"Biriyani is of moderate quality but price is a bit high. Overall other foods like tandoori is good."
"Reviews9",2,"One of the best restaurant for biriyani in Midnapore and Kharagpur are. It is a walking distance from Kharagpur railway station. Quality of food is very good."
"Reviews10",0,"when u ask for chicken biryani.they give you aloo biryani with 3 big aloos and 2 chicken pieces..better cal it as aloo biryani.. taste wise simple to say ""Bakwaas"". its just kgp ppl dont have a good option hence they are relying on this …Morewhen u ask for chicken biryani.they give you aloo biryani with 3 big aloos and 2 chicken pieces..better cal it as aloo biryani.. taste wise simple to say ""Bakwaas"". its just kgp ppl dont have a good option hence they are relying on this restaurant. quality wise they use ration quota rice in biryani..most pathetic food u get.. my suggestion walk 1 km to railway station and u order chic biryani which is far better option."
"Reviews11",2,"I love the most,as well as their behaviour...."
"Reviews12",0,"As per taste prices are high.."
"Reviews13",2,"Best non-veg restaurant in Kharagpur. Tangri kabab and chicken tikka is awesome so grab it all............"
"Reviews14",0,"Tasty but not spicy foods"
"Reviews15",3,"Warmly recommend! Very tasty, traditional Indian dishes. I had dal tadka, half matar paneer and two rotis. Rotis were very big and light and curries were as great as at any restaurant in a bigger city. And maybe third the price. Service was excellent too, I asked for a Chai which they didn't have but picked up from a nearby stall."
"Reviews16",0,"Food quality are down grading day by day."
"Reviews17",1,"Very fabulous bireyani specialist restaurant in Kharagpur from last 10 years.."
"Reviews18",5,"Oh the most famous and demanding nonveg resturant(also veg items available). Specially the biriyani. This is the oldest biryani shop in kharagpur. service is very well and quick with very affordable price , almost the lowest rates in the city with the best quality"
"Reviews19",0,"Food is not healthy because it contains too much oil. Flavour is so intense & too much spicy."
"Reviews20",1,"For biriyani in Jhargram is the best place you can go..."
"Reviews21",1,"Awesome biriyani spot for train travellers"
"Reviews22",1,"Good place for quality and tasty biriyani."
"Reviews23",0,"Taste of the biriyani is very good...and the other food is also tasty"
"Reviews24",2,"Located just outside the Kharagpur Railway station, very easy to find. Fast service. Really liked thr biryani they served. Deducting a star  for the ambience and look of the place which feels a bit conservative."
"Reviews25",1,"One of the best biriyani of Kharagpur"
"Reviews26",1,"Texture, taste and mouthfeel of their biryani rice with its tender chicken and potato brings one towards it everytime! Value for money. Dont forget their masala cola in the end!"
"Reviews27",1,"You will find best biryani of kgp"
"Reviews28",3,"Great nice restaurant. Good food."
"Reviews29",1,"Nearest to the railway station ,a great restaurant for biriyani lovers"
"Reviews30",2,"Good food. The chicken tandoori was delicious."
"Reviews31",2,"Not excellent but Good food here."
"Reviews32",0,"Beat biryani specialist restaurant in khargpur"
"Reviews33",1,"Price is a bit higher but quality of food specially biriyani is really good."
"Reviews34",1,"Cost of food is too high but quality is good."
"Reviews35",1,"Needs to improve a little cleanliness,they keep their dahi salad open and flies sit on it and keeps buzzing around it..Its regular every time i went their i saw it..plzz improve it..."
"Reviews36",3,"Oooohhhooo I like Taz's biriani too much....from 4 year ago I ate biriani at Taz...super taste at proper price level I think Taz biriani is best in KGP"
"Reviews37",1,"One of the best biryani shop at kharagpur"
"Reviews38",1,"It was awsome experience specially chickwn tikka and chicken tandoori...."
"Reviews39",1,"Good biriyani"
"Reviews40",1,"Best biryani and special item tikka masala.."
"Reviews41",0,"Best chicken biryani in Kharagpur. But the food is a bit expensive"
"Reviews42",1,"Nice Place for any Outing.."
"Reviews43",4,"The best biryani food court in Kharagpur. Besides other dishes like Tanduri, Chicken Chap are also awesome and mouthwatering. Service is quite good. A must visitable hotel for lunch or dinner."
"Reviews44",0,"Mutton keema is a must try. Biriyani is okayish."
"Reviews45",2,"It's have a good location and  nice food"
"Reviews46",0,"Minimum quality food of kharagpur jn."
"Reviews47",0,"Too tasty Biriyani"
"Reviews48",0,"Available very tasty biriyani...😘😘"
"Reviews49",2,"Very Nice and great biryani.. :)"
"Reviews50",2,"Kgp famous biriyani available here"
"Reviews51",4,"Authentic Biriyani can be the best thing in Kharagpur. Non oily biriyani and other tandoor items are the great. Love this restaurant."
"Reviews52",0,"One among very few places in kharagpur which is decent enough to go and eat when you have only 200 bucks in yoir pocket. Biryani is good. Kababs are too, unless you notice too many flies loitering on the salad prepared to be served with …MoreOne among very few places in kharagpur which is decent enough to go and eat when you have only 200 bucks in yoir pocket. Biryani is good. Kababs are too, unless you notice too many flies loitering on the salad prepared to be served with kababs. Staffs are average, menu does not have that wide variety. You can go there if you want good biryani and kebabs. Anything else is not that good to mentions"
"Reviews53",2,"Nice affordable food"
"Reviews54",1,"nice biryani heavy tasty food"
"Reviews55",-1,"Last I go there 10th October 2017, I miss it now..."
"Reviews56",1,"Its good restaurant"
"Reviews57",3,"The best biryani center of Kharagpur. Mutton biryani and Chicken leg are worth mentioning among the various dishes available."
"Reviews58",0,"Very tasty biryani"
"Reviews59",1,"It is the best food court to have any kind of biriyani in Kharagpur."
"Reviews60",2,"Awesome Food Quality at reasonable price."
"Reviews61",1,"Famous for biriyani in kgp"
"Reviews62",1,"I'm loving this place and food"
"Reviews63",1,"Bah taaz. brilliant & a bit pricy"
"Reviews64",0,"My favourite"
"Reviews65",3,"Nice. One of the best kabab restaurants in Kharagpur. Briyani is good too..."
"Reviews66",1,"Good for biryani"
"Reviews67",0,"Owesum"
"Reviews68",2,"It's well maintained.  Food quality is good as per the locality....."
"Reviews69",2,"Best biryani in kharagpur. Don't chArge VAT if paying by cash. Friendly administration."
"Reviews70",0,"It's ok"
"Reviews71",2,"Good enough"
"Reviews72",1,"Not so good"
"Reviews73",2,"Awesome test pride of kgp...."
"Reviews74",1,"Best non veg restaurant in kharagpur"
"Reviews75",1,"The best biriyani im Kharagpur"
"Reviews76",2,"Really tasty biryani , for the lunch time u need some time bcs of crowd, for the dinner is good . Raita is also good."
